Fiscal Year,County,Is Charter,LEA Name,School Name,School Id,Mailing Address,Physical Address,Phoenix
2023,Pinal,TRUE,A+ Charter Schools,A+ Charter Schools,1000972,"41600 W. Smith-Enke Rd., Bldg 12, Maricopa, AZ 85138","41735 W. Alan Stephens Pkwy, Maricopa, AZ 85138",FALSE
2023,Pima,TRUE,"Academy Del Sol, Inc.",Academy Del Sol,90200,"732 W ROGER RD , TUCSON, AZ 85705-2621","732 W ROGER RD , TUCSON, AZ 85705-2621",FALSE
2023,Pima,TRUE,"Academy Del Sol, Inc.",Academy Del Sol - Hope,90770,"7102 W VALLEY CREST PL , TUCSON, AZ 85757-8709","7102 W VALLEY CREST PL , TUCSON, AZ 85757-8709",FALSE
2023,Mohave,TRUE,"Academy of Building Industries, Inc.",Academy of Building Industries,85541,"1547 E LIPAN BLVD , FORT MOHAVE, AZ 86426-6031","1547 E LIPAN BLVD , FORT MOHAVE, AZ 86426-6031",FALSE
2023,Pima,TRUE,"Academy of Mathematics and Science South, Inc.",Academy of Math and Science Avondale,1000378,"3448 N 1ST AVE, TUCSON, AZ 85719-1842","10649 W Buckeye Rd, Phoenix, AZ 85353",TRUE
2023,Pima,TRUE,"Academy of Mathematics and Science South, Inc.",Academy of Math and Science Desert Sky,911531,"3448 N 1ST AVE , TUCSON, AZ 85719-1842","5757 W MCDOWELL RD , PHOENIX, AZ 85035-4947",TRUE
2023,Pima,TRUE,"Academy of Mathematics and Science South, Inc.",Academy of Math and Science Glendale,1000119,"3448 N 1ST AVE, TUCSON, AZ 85719-1842","4610 W GLENDALE AVE, GLENDALE, AZ 85301-2811",FALSE
2023,Pima,TRUE,"Academy of Mathematics and Science South, Inc.",Academy of Math and Science Peoria Advanced,1000118,"3448 N 1ST AVE, TUCSON, AZ 85719-1842","7785 W PEORIA AVE, PEORIA, AZ 85345-5922",FALSE
2023,Pima,TRUE,"Academy of Mathematics and Science South, Inc.",Academy of Math and Science South Mountain,1000379,"3448 N 1ST AVE, TUCSON, AZ 85719-1842","1445 W BASELINE RD, PHOENIX, AZ 85041-7010",TRUE
2023,Pima,TRUE,"Academy of Mathematics and Science South, Inc.",Academy of Mathematics and Science South,92197,"1557 W PRINCE RD , TUCSON, AZ 85705-3023","3335 W FLOWER ST , PHOENIX, AZ 85017-4802",TRUE
2023,Pima,TRUE,"Academy of Mathematics and Science, Inc.",Academy of Math and Science,79094,"1557 W PRINCE RD , TUCSON, AZ 85705-3023","1557 W PRINCE RD , TUCSON, AZ 85705-3023",FALSE
